county,candidate,party,votes
MONTCALM,Hoefling,WRITE-IN,0
MONTCALM,Johnson,WRITE-IN,52
MONTCALM,Obama,DEM,11430
MONTCALM,Romney,REP,13621
MONTCALM,Stein,GRN,122
MONTCALM,White,WRITE-IN,0
MONTMORENCY,"Goode, Jr.",UST,35
MONTMORENCY,Alexander,WRITE-IN,0
MONTMORENCY,Anderson,NLP,12
MONTMORENCY,Hoefling,WRITE-IN,0
MONTMORENCY,Johnson,WRITE-IN,0
MONTMORENCY,Obama,DEM,2049
MONTMORENCY,Romney,REP,2928
MONTMORENCY,Stein,GRN,27
MONTMORENCY,White,WRITE-IN,0
MUSKEGON,"Goode, Jr.",UST,298
MUSKEGON,Alexander,WRITE-IN,0
MUSKEGON,Anderson,NLP,95
MUSKEGON,Hoefling,WRITE-IN,0
MUSKEGON,Johnson,WRITE-IN,107
MUSKEGON,Obama,DEM,44436
MUSKEGON,Romney,REP,30884
MUSKEGON,Stein,GRN,343
MUSKEGON,White,WRITE-IN,0
NEWAYGO,"Goode, Jr.",UST,124
NEWAYGO,Alexander,WRITE-IN,0
NEWAYGO,Anderson,NLP,23
NEWAYGO,Hoefling,WRITE-IN,10
NEWAYGO,Johnson,WRITE-IN,39
NEWAYGO,Obama,DEM,8728
NEWAYGO,Romney,REP,12457
NEWAYGO,Stein,GRN,97
NEWAYGO,White,WRITE-IN,0
OAKLAND,"Goode, Jr.",UST,1515
OAKLAND,Alexander,WRITE-IN,11
OAKLAND,Anderson,NLP,566
OAKLAND,Hoefling,WRITE-IN,1
OAKLAND,Johnson,WRITE-IN,1322
OAKLAND,Obama,DEM,349002
OAKLAND,Romney,REP,296514
OAKLAND,Stein,GRN,2641
OAKLAND,White,WRITE-IN,35
OCEANA,"Goode, Jr.",UST,68
OCEANA,Alexander,WRITE-IN,0
OCEANA,Anderson,NLP,20
OCEANA,Hoefling,WRITE-IN,0
OCEANA,Johnson,WRITE-IN,12
OCEANA,Obama,DEM,5063
OCEANA,Romney,REP,6239
OCEANA,Stein,GRN,48
OCEANA,White,WRITE-IN,0
OGEMAW,"Goode, Jr.",UST,63
OGEMAW,Alexander,WRITE-IN,0
OGEMAW,Anderson,NLP,20
OGEMAW,Hoefling,WRITE-IN,0
OGEMAW,Johnson,WRITE-IN,0
OGEMAW,Obama,DEM,4791
OGEMAW,Romney,REP,5437
OGEMAW,Stein,GRN,50
OGEMAW,White,WRITE-IN,0
ONTONAGON,"Goode, Jr.",UST,23
ONTONAGON,Alexander,WRITE-IN,1
ONTONAGON,Anderson,NLP,4
ONTONAGON,Hoefling,WRITE-IN,0
ONTONAGON,Johnson,WRITE-IN,2
ONTONAGON,Obama,DEM,1586
ONTONAGON,Romney,REP,1906
ONTONAGON,Stein,GRN,17
ONTONAGON,White,WRITE-IN,0
OSCEOLA,"Goode, Jr.",UST,64
OSCEOLA,Alexander,WRITE-IN,0
OSCEOLA,Anderson,NLP,21
OSCEOLA,Hoefling,WRITE-IN,0
OSCEOLA,Johnson,WRITE-IN,12
OSCEOLA,Obama,DEM,3981
OSCEOLA,Romney,REP,6141
OSCEOLA,Stein,GRN,59
OSCEOLA,White,WRITE-IN,0
OSCODA,"Goode, Jr.",UST,28
OSCODA,Alexander,WRITE-IN,0
OSCODA,Anderson,NLP,10
OSCODA,Hoefling,WRITE-IN,0
OSCODA,Johnson,WRITE-IN,12
OSCODA,Obama,DEM,1657
OSCODA,Romney,REP,2308
OSCODA,Stein,GRN,27
OSCODA,White,WRITE-IN,0
OTSEGO,"Goode, Jr.",UST,54
OTSEGO,Alexander,WRITE-IN,0
OTSEGO,Anderson,NLP,14
OTSEGO,Hoefling,WRITE-IN,0
OTSEGO,Johnson,WRITE-IN,0
OTSEGO,Obama,DEM,4681
OTSEGO,Romney,REP,7011
OTSEGO,Stein,GRN,72
OTSEGO,White,WRITE-IN,0
OTTAWA,"Goode, Jr.",UST,423
OTTAWA,Alexander,WRITE-IN,1
OTTAWA,Anderson,NLP,125
OTTAWA,Hoefling,WRITE-IN,0
OTTAWA,Johnson,WRITE-IN,301
OTTAWA,Obama,DEM,42737
OTTAWA,Romney,REP,88166
OTTAWA,Stein,GRN,559
OTTAWA,White,WRITE-IN,0
PRESQUE ISLE,"Goode, Jr.",UST,37
PRESQUE ISLE,Alexander,WRITE-IN,0
PRESQUE ISLE,Anderson,NLP,14
PRESQUE ISLE,Hoefling,WRITE-IN,0
PRESQUE ISLE,Johnson,WRITE-IN,3
PRESQUE ISLE,Obama,DEM,3192
PRESQUE ISLE,Romney,REP,3794
PRESQUE ISLE,Stein,GRN,40
PRESQUE ISLE,White,WRITE-IN,0
ROSCOMMON,"Goode, Jr.",UST,50
ROSCOMMON,Alexander,WRITE-IN,0
ROSCOMMON,Anderson,NLP,15
ROSCOMMON,Hoefling,WRITE-IN,0
ROSCOMMON,Johnson,WRITE-IN,0
ROSCOMMON,Obama,DEM,6198
ROSCOMMON,Romney,REP,6701
ROSCOMMON,Stein,GRN,68
ROSCOMMON,White,WRITE-IN,0
SAGINAW,"Goode, Jr.",UST,299
