fips,county,candidate,votes
39071,Highland,"Randall, Terry (WI)",0
39071,Highland,"Vargo, Mike (WI)",0
39073,Hocking,"Alexander, Stewart (S)",13
39073,Hocking,"Duncan, Richard (I)",49
39073,Hocking,"Goode, Virgil (C)",34
39073,Hocking,"Johnson, Gary (L)",133
39073,Hocking,"Obama, Barack (D)",6157
39073,Hocking,"Romney, Mitt (R)",6285
39073,Hocking,"Stein, Jill (G)",57
39073,Hocking,"Daniels, Susan (WI)",0
39073,Hocking,"Keyton, Nelson (WI)",0
39073,Hocking,"Reed, Jill (WI)",0
39073,Hocking,"Robertson, Platt (WI)",0
39073,Hocking,"Randall, Terry (WI)",0
39073,Hocking,"Vargo, Mike (WI)",0
39075,Holmes,"Alexander, Stewart (S)",12
39075,Holmes,"Duncan, Richard (I)",45
39075,Holmes,"Goode, Virgil (C)",33
39075,Holmes,"Johnson, Gary (L)",93
39075,Holmes,"Obama, Barack (D)",2608
39075,Holmes,"Romney, Mitt (R)",8702
39075,Holmes,"Stein, Jill (G)",43
39075,Holmes,"Daniels, Susan (WI)",0
39075,Holmes,"Keyton, Nelson (WI)",0
39075,Holmes,"Reed, Jill (WI)",0
39075,Holmes,"Robertson, Platt (WI)",0
39075,Holmes,"Randall, Terry (WI)",0
39075,Holmes,"Vargo, Mike (WI)",0
39077,Huron,"Alexander, Stewart (S)",31
39077,Huron,"Duncan, Richard (I)",115
39077,Huron,"Goode, Virgil (C)",76
39077,Huron,"Johnson, Gary (L)",260
39077,Huron,"Obama, Barack (D)",11006
39077,Huron,"Romney, Mitt (R)",13060
39077,Huron,"Stein, Jill (G)",115
39077,Huron,"Daniels, Susan (WI)",0
39077,Huron,"Keyton, Nelson (WI)",0
39077,Huron,"Reed, Jill (WI)",0
39077,Huron,"Robertson, Platt (WI)",0
39077,Huron,"Randall, Terry (WI)",0
39077,Huron,"Vargo, Mike (WI)",0
39079,Jackson,"Alexander, Stewart (S)",18
39079,Jackson,"Duncan, Richard (I)",64
39079,Jackson,"Goode, Virgil (C)",34
39079,Jackson,"Johnson, Gary (L)",94
39079,Jackson,"Obama, Barack (D)",5166
39079,Jackson,"Romney, Mitt (R)",7904
39079,Jackson,"Stein, Jill (G)",101
39079,Jackson,"Daniels, Susan (WI)",0
39079,Jackson,"Keyton, Nelson (WI)",0
39079,Jackson,"Reed, Jill (WI)",0
39079,Jackson,"Robertson, Platt (WI)",0
39079,Jackson,"Randall, Terry (WI)",0
39079,Jackson,"Vargo, Mike (WI)",0
39081,Jefferson,"Alexander, Stewart (S)",39
39081,Jefferson,"Duncan, Richard (I)",141
39081,Jefferson,"Goode, Virgil (C)",65
39081,Jefferson,"Johnson, Gary (L)",248
39081,Jefferson,"Obama, Barack (D)",15385
39081,Jefferson,"Romney, Mitt (R)",17034
39081,Jefferson,"Stein, Jill (G)",157
39081,Jefferson,"Daniels, Susan (WI)",0
39081,Jefferson,"Keyton, Nelson (WI)",0
39081,Jefferson,"Reed, Jill (WI)",0
39081,Jefferson,"Robertson, Platt (WI)",0
39081,Jefferson,"Randall, Terry (WI)",0
39081,Jefferson,"Vargo, Mike (WI)",0
39083,Knox,"Alexander, Stewart (S)",14
39083,Knox,"Duncan, Richard (I)",101
39083,Knox,"Goode, Virgil (C)",74
39083,Knox,"Johnson, Gary (L)",306
39083,Knox,"Obama, Barack (D)",10470
39083,Knox,"Romney, Mitt (R)",17266
39083,Knox,"Stein, Jill (G)",114
39083,Knox,"Daniels, Susan (WI)",1
39083,Knox,"Keyton, Nelson (WI)",0
39083,Knox,"Reed, Jill (WI)",0
39083,Knox,"Robertson, Platt (WI)",0
39083,Knox,"Randall, Terry (WI)",0
39083,Knox,"Vargo, Mike (WI)",42
39085,Lake,"Alexander, Stewart (S)",46
39085,Lake,"Duncan, Richard (I)",271
39085,Lake,"Goode, Virgil (C)",153
39085,Lake,"Johnson, Gary (L)",1073
39085,Lake,"Obama, Barack (D)",57680
39085,Lake,"Romney, Mitt (R)",58744
39085,Lake,"Stein, Jill (G)",436
39085,Lake,"Daniels, Susan (WI)",0
39085,Lake,"Keyton, Nelson (WI)",0
39085,Lake,"Reed, Jill (WI)",0
39085,Lake,"Robertson, Platt (WI)",0
39085,Lake,"Randall, Terry (WI)",1
39085,Lake,"Vargo, Mike (WI)",0
39087,Lawrence,"Alexander, Stewart (S)",18
39087,Lawrence,"Duncan, Richard (I)",107
39087,Lawrence,"Goode, Virgil (C)",49
39087,Lawrence,"Johnson, Gary (L)",171
39087,Lawrence,"Obama, Barack (D)",10744
39087,Lawrence,"Romney, Mitt (R)",14651
39087,Lawrence,"Stein, Jill (G)",93
39087,Lawrence,"Daniels, Susan (WI)",0
39087,Lawrence,"Keyton, Nelson (WI)",0
39087,Lawrence,"Reed, Jill (WI)",0
39087,Lawrence,"Robertson, Platt (WI)",0
39087,Lawrence,"Randall, Terry (WI)",0
39087,Lawrence,"Vargo, Mike (WI)",0
39089,Licking,"Alexander, Stewart (S)",68
39089,Licking,"Duncan, Richard (I)",287
39089,Licking,"Goode, Virgil (C)",200
39089,Licking,"Johnson, Gary (L)",817
39089,Licking,"Obama, Barack (D)",34201
39089,Licking,"Romney, Mitt (R)",45503
39089,Licking,"Stein, Jill (G)",311
39089,Licking,"Daniels, Susan (WI)",0
39089,Licking,"Keyton, Nelson (WI)",0
39089,Licking,"Reed, Jill (WI)",0
39089,Licking,"Robertson, Platt (WI)",0
39089,Licking,"Randall, Terry (WI)",0
39089,Licking,"Vargo, Mike (WI)",3
39091,Logan,"Alexander, Stewart (S)",14
39091,Logan,"Duncan, Richard (I)",76
39091,Logan,"Goode, Virgil (C)",58
39091,Logan,"Johnson, Gary (L)",214
39091,Logan,"Obama, Barack (D)",7062
39091,Logan,"Romney, Mitt (R)",13633
39091,Logan,"Stein, Jill (G)",80
39091,Logan,"Daniels, Susan (WI)",0
39091,Logan,"Keyton, Nelson (WI)",0
39091,Logan,"Reed, Jill (WI)",0
