county,candidate,votes
Richland,"Jerry White, Phyllis Scherrer Socialist Equality",2
Richland,"James Harris, Alyson Kennedy Socialist Workers",1
Richland,"Sheila Tittle, Matthew Turner We The People",2
Sabine,"Barack Obama, Joe Biden Democratic",2194
Sabine,"Jill Stein, Cheri Honkala Green",45
Sabine,"Gary Johnson, James P. Gray Libertarian",46
Sabine,"Mitt Romney, Paul Ryan Republican",7738
Sabine,"Virgil Goode, James Clymer Constitution",4
Sabine,"Ross Anderson, Luis Rodriguez Justice",6
Sabine,"Jack Fellure, Toby Davis Prohibition",4
Sabine,"Peta Lindsay, Yari Osorio Socialism and Liberation",3
Sabine,"Jerry White, Phyllis Scherrer Socialist Equality",4
Sabine,"James Harris, Alyson Kennedy Socialist Workers",0
Sabine,"Sheila Tittle, Matthew Turner We The People",9
St. Bernard,"Barack Obama, Joe Biden Democratic",5059
